appstore_store_id,appstore_bundle_id,appstore_developer_url,url,status_code
13165,13165,,https://channelstore.roku.com/details/42e4b35f11ca5798b676a7fc19270d94:23ce9c71f2ea70421809c458e00823b5/nostalgia-usa-prime,200
13179,13179,,https://channelstore.roku.com/details/1149168b6025828e54cff765344692a1:8a9dcce2fa55b70faa056687deee42bd/amazing-discoveries-tv,200
13211,13211,,https://channelstore.roku.com/details/9f9df1248228b6fb974d258a757b3bab:8dd617e84497ec4fa69979f3ef84c159/chop-chop-runner,200
13240,13240,,https://channelstore.roku.com/details/e88cec3c32237823d09b2546b6af2e3c:2b4d3033896066642976ab13244bcd26/tomorrows-world,200
13324,13324,,https://channelstore.roku.com/details/7a428836da3bf5f06f3319cf5762d612:c68820c9c3f7b7dcc4b9680cb635aa12/family-friendly-entertainment,200
13346,13346,,https://channelstore.roku.com/details/2f1d5eed0e931e79469de4be1677deee:5741ddca26a7c9e0c15bceab6e74c5a6/zola-levitt-ministries,200
13354,13354,,https://channelstore.roku.com/details/0e6a07c0e0cca88537a9f6f3e515141d:e483aaf7bfec9baf4202124238a73eb5/uinterview,200
13389,13389,,https://channelstore.roku.com/details/969e41ec1330d65d367497b3f589899c:c54f86b04460a6aa8f4d768f437c2732/dittytv-handcrafted-music-television,200
13490,13490,,https://channelstore.roku.com/details/88318c521153a69f0c9321079f21b544:6d4ee546f9408bfcdd10e2f0044e119d/understand-the-bible,200
13531,13531,,https://channelstore.roku.com/details/6d797d13e509080d0198346cd5adcc07:3794346a30ec92da6f5b276ecc830ced/ifametv,200
13535,13535,https://app.plex.tv,https://channelstore.roku.com/details/319af1cdcf66a4bba38b45800bca85a6:3a7f1fed11646046bf9aa206cdbe3911/plex-free-movies-and-tv,200
13564,13564,,https://channelstore.roku.com/details/cd935b7a3ed47fa915fb43b3e8478e67:763ac1b365b6769b20060c0bb7385033/rhema,200
